0.151 0.997 0.430 0.647 0.843 0.856 0.071 0.216 0.299 0.822
0.189 0.474 0.351 0.591 0.897 0.285 0.426 0.252 0.856 0.818
0.197 0.509 0.134 0.724 0.666 0.767 0.865 0.688 0.818 0.667
0.156 0.104 0.835 0.756 0.830 0.881 0.712 0.372 0.385 0.734
0.113 0.711 0.987 0.871 0.671 0.182 0.859 0.325 0.895 0.216
0.594 0.695 0.636 0.725 0.355 0.580 0.576 0.504 0.126 0.915
0.969 0.086 0.272 0.105 0.791 0.295 0.154 0.270 0.222 0.085
0.673 0.197 0.905 0.339 0.864 0.022 0.902 0.696 0.830 0.770
0.204 0.950 0.482 0.814 0.562 0.298 0.311 0.202 0.756 0.614
0.492 0.464 0.976 0.247 0.292 0.960 0.915 0.998 0.335 0.700
0.261 0.853 0.874 0.859 0.522 0.446 0.659 0.639 0.475 0.809
0.769 0.266 0.727 0.504 0.015 0.316 0.380 0.912 0.313 0.638
0.074 0.556 0.922 0.135 0.546 0.844 0.967 0.618 0.940 0.315
0.948 0.760 0.458 0.585 0.674 0.061 0.246 0.888 0.011 0.255
0.269 0.471 0.381 0.047 0.427 0.655 0.129 0.699 0.032 0.344
0.736 0.070 0.191 0.529 0.715 0.577 0.823 0.673 0.661 0.354
0.659 0.303 0.507 0.039 0.141 0.889 0.367 0.804 0.778 0.911
0.972 0.635 0.034 0.104 0.324 0.110 0.479 0.017 0.123 0.559
0.873 0.812 0.169 0.706 0.917 0.459 0.976 0.917 0.327 0.609
0.079 0.287 0.689 0.008 0.706 0.975 0.043 0.689 0.499 0.114
0.093 0.330 0.405 0.302 0.836 0.581 0.974 0.776 0.629 0.302
0.683 0.329 0.900 0.598 0.375 0.712 0.049 0.959 0.809 0.933
0.376 0.962 0.886 0.681 0.276 0.230 0.855 0.330 0.391 0.600
0.787 0.548 0.491 0.026 0.395 0.957 0.202 0.564 0.701 0.480
0.547 0.191 0.389 0.104 0.906 0.151 0.814 0.629 0.448 0.708
0.895 0.018 0.807 0.396 0.637 0.194 0.265 0.789 0.539 0.741
0.653 0.266 0.833 0.730 0.618 0.922 0.552 0.700 0.294 0.419
0.191 0.645 0.842 0.618 0.921 0.935 0.761 0.909 0.226 0.707
0.797 0.835 0.674 0.486 0.462 0.463 0.602 0.807 0.485 0.206
0.047 0.901 0.705 0.801 0.905 0.923 0.583 0.652 0.565 0.780
0.055 0.178 0.737 0.508 0.186 0.355 0.141 0.084 0.958 0.698
0.247 0.599 0.198 0.076 0.553 0.385 0.823 0.314 0.266 0.047
0.152 0.722 0.139 0.549 0.893 0.335 0.393 0.694 0.337 0.913
0.859 0.954 0.473 0.936 0.945 0.229 0.946 0.194 0.856 0.598
0.074 0.553 0.188 0.211 0.554 0.601 0.957 0.763 0.356 0.467
0.857 0.570 0.233 0.206 0.300 0.159 0.113 0.555 0.279 0.046
0.873 0.844 0.851 0.623 0.059 0.270 0.674 0.778 0.973 0.120
0.163 0.756 0.569 0.420 0.733 0.709 0.221 0.787 0.046 0.663
0.750 0.161 0.760 0.430 0.107 0.550 0.056 0.555 0.278 0.720
0.363 0.131 0.977 0.337 0.064 0.464 0.559 0.346 0.278 0.774
0.480 0.505 0.322 0.430 0.513 0.182 0.137 0.655 0.740 0.114
0.060 0.402 0.259 0.001 0.974 0.059 0.028 0.086 0.443 0.974
0.835 0.535 0.706 0.930 0.356 0.810 0.622 0.780 0.913 0.072
0.227 0.135 0.066 0.415 0.950 0.024 0.971 0.254 0.832 0.716
0.662 0.787 0.477 0.668 0.090 0.634 0.823 0.406 0.428 0.615
0.733 0.337 0.325 0.334 0.070 0.434 0.173 0.042 0.005 0.341
0.969 0.405 0.920 0.323 0.031 0.602 0.790 0.022 0.301 0.337
0.671 0.305 0.237 0.700 0.097 0.966 0.530 0.212 0.102 0.794
0.552 0.746 0.256 0.676 0.884 0.900 0.722 0.670 0.095 0.099
0.651 0.176 0.987 0.603 0.434 0.896 0.382 0.741 0.070 0.918
0.544 0.616 0.779 0.854 0.574 0.380 0.346 0.874 0.783 0.102
0.376 0.082 0.887 0.871 0.737 0.335 0.248 0.771 0.753 0.405
0.272 0.561 0.656 0.701 0.790 0.322 0.017 0.631 0.934 0.522
0.166 0.087 0.679 0.513 0.264 0.729 0.034 0.713 0.545 0.647
0.401 0.529 0.705 0.687 0.130 0.347 0.352 0.035 0.383 0.577
0.028 0.195 0.275 0.216 0.061 0.110 0.688 0.862 0.519 0.262
0.709 0.607 0.263 0.503 0.985 0.870 0.504 0.635 0.297 0.144
0.818 0.055 0.359 0.336 0.738 0.515 0.157 0.401 0.583 0.076
0.021 0.039 0.915 0.004 0.500 0.598 0.045 0.430 0.671 0.052
0.912 0.676 0.995 0.639 0.387 0.843 0.914 0.799 0.816 0.525
0.861 0.634 0.911 0.966 0.085 0.248 0.284 0.160 0.071 0.118
